x,y,z
1415.384615328,682.051282024,-16.0
1456.410256352,705.1282051000001,-16.0
1489.743589684,743.58974356,-16.0
1520.5128204520001,779.487179456,-16.0
1561.538461476,807.6923076600001,-16.0
1607.692307628,823.0769230440001,-16.0
1653.8461537800001,835.897435864,-16.0
1694.871794804,864.102564068,-16.0
1735.8974358280002,887.1794871440001,-16.0
1776.9230768520001,902.564102528,-16.0
1751.2820512120002,923.07692304,-16.0
1702.564102496,915.384615348,-16.0
1656.4102563440001,928.2051281680001,-16.0
1615.3846153200002,951.2820512440001,-16.0
1574.358974296,976.923076884,-16.0
1533.3333332720001,999.9999999600001,-16.0
1492.3076922480002,1023.076923036,-16.0
1451.282051224,1046.153846112,-16.0
1410.2564102000001,1071.794871752,-16.0
1417.948717892,1110.256410212,-16.0
1464.102564044,1125.641025596,-16.0
1507.6923076320002,1138.4615384160002,-16.0
1530.7692307080001,1179.48717944,-16.0
1546.153846092,1225.641025592,-16.0
1553.846153784,1274.3589743080001,-16.0
1556.410256348,1325.641025588,-16.0
1564.10256404,1374.3589743040002,-16.0
1543.589743528,1417.948717892,-16.0
1535.897435836,1466.666666608,-16.0
1530.7692307080001,1515.3846153240002,-16.0
1530.7692307080001,1566.666666604,-16.0
1515.3846153240002,1612.8205127560002,-16.0
1471.794871736,1607.692307628,-16.0
1441.025640968,1569.230769168,-16.0
1433.333333276,1520.5128204520001,-16.0
1425.641025584,1471.794871736,-16.0
1415.384615328,1425.641025584,-16.0
1384.6153845600002,1387.1794871240002,-16.0
1343.589743536,1361.538461484,-16.0
1315.384615332,1323.076923024,-16.0
1289.7435896920001,1282.0512820000001,-16.0
1274.3589743080001,1235.897435848,-16.0
1289.7435896920001,1189.743589696,-16.0
1317.948717896,1151.2820512360001,-16.0
1294.87179482,1115.38461534,-16.0
1256.4102563600002,1087.179487136,-16.0
1243.58974354,1041.0256409840001,-16.0
1241.025640976,989.7435897040001,-16.0
1235.897435848,941.0256409880001,-16.0
1230.76923072,892.307692272,-16.0
1228.205128156,841.025640992,-16.0
1253.8461537960002,799.999999968,-16.0
1294.87179482,776.923076892,-16.0
1333.33333328,746.1538461240001,-16.0
1366.666666612,707.692307664,-16.0
1405.1282050720001,682.051282024,-16.0
2620.512820408,474.35897434000003,-15.0
2635.897435792,517.9487179280001,-15.0
2612.820512716,558.974358952,-15.0
2579.4871793840002,594.871794848,-15.0
2551.28205118,633.3333333080001,-15.0
2515.384615284,671.794871768,-15.0
2497.435897336,715.384615356,-15.0
2489.743589644,764.1025640720001,-15.0
2482.051281952,812.8205127880001,-15.0
2497.435897336,858.97435894,-15.0
2535.897435796,887.1794871440001,-15.0
2571.794871692,920.512820476,-15.0
2582.051281948,966.666666628,-15.0
2571.794871692,1012.8205127800001,-15.0
2525.64102554,1015.384615344,-15.0
2482.051281952,994.8717948320001,-15.0
2433.3333332360003,997.4358973960001,-15.0
2392.3076922120003,1025.6410256000001,-15.0
2353.846153752,1058.974358932,-15.0
2315.384615292,1092.307692264,-15.0
2271.7948717040003,1110.256410212,-15.0
2225.641025552,1120.512820468,-15.0
2179.4871794,1110.256410212,-15.0
2133.333333248,1092.307692264,-15.0
2084.615384532,1087.179487136,-15.0
2035.897435816,1097.435897392,-15.0
2005.1282050480002,1133.333333288,-15.0
1976.9230768440002,1174.358974312,-15.0
1943.589743512,1210.256410208,-15.0
1905.128205052,1241.025640976,-15.0
1861.5384614640002,1228.205128156,-15.0
1823.076923004,1197.435897388,-15.0
1782.05128198,1171.794871748,-15.0
1738.4615383920002,1179.48717944,-15.0
1699.999999932,1210.256410208,-15.0
1694.871794804,1258.9743589240002,-15.0
1692.30769224,1310.256410204,-15.0
1669.230769164,1351.282051228,-15.0
1664.102564036,1399.9999999440001,-15.0
1664.102564036,1448.71794866,-15.0
1679.48717942,1494.8717948120002,-15.0
1692.30769224,1541.025640964,-15.0
1707.692307624,1587.179487116,-15.0
1720.512820444,1633.3333332680002,-15.0
1720.512820444,1682.051281984,-15.0
1728.205128136,1730.7692307000002,-15.0
1728.205128136,1779.4871794160001,-15.0
1694.871794804,1789.743589672,-15.0
1684.615384548,1743.5897435200002,-15.0
1664.102564036,1699.999999932,-15.0
1630.7692307040002,1669.230769164,-15.0
1582.051281988,1674.358974292,-15.0
1538.4615384,1692.30769224,-15.0
1489.743589684,1699.999999932,-15.0
1443.589743532,1687.179487112,-15.0
1410.2564102000001,1653.8461537800001,-15.0
1402.5641025080001,1605.128205064,-15.0
1394.8717948160001,1558.974358912,-15.0
1366.666666612,1520.5128204520001,-15.0
1361.538461484,1471.794871736,-15.0
1348.717948664,1425.641025584,-15.0
1310.256410204,1397.4358973800001,-15.0
1287.1794871280001,1356.410256356,-15.0
1264.1025640520002,1315.384615332,-15.0
1228.205128156,1279.4871794360001,-15.0
1189.743589696,1243.58974354,-15.0
1148.7179486720001,1215.384615336,-15.0
1099.999999956,1207.692307644,-15.0
1048.717948676,1207.692307644,-15.0
997.4358973960001,1207.692307644,-15.0
946.1538461160001,1205.12820508,-15.0
894.871794836,1202.564102516,-15.0
879.4871794520001,1174.358974312,-15.0
907.692307656,1135.8974358520002,-15.0
943.5897435520001,1105.128205084,-15.0
987.1794871400001,1084.615384572,-15.0
1033.3333332920001,1069.230769188,-15.0
1071.794871752,1041.0256409840001,-15.0
1107.692307648,1010.2564102160001,-15.0
1130.769230724,969.230769192,-15.0
1130.769230724,920.512820476,-15.0
1125.641025596,871.7948717600001,-15.0
1120.512820468,823.0769230440001,-15.0
1117.948717904,774.358974328,-15.0
1153.8461538000001,748.7179486880001,-15.0
1199.999999952,735.897435868,-15.0
1243.58974354,712.820512792,-15.0
1284.6153845640001,684.615384588,-15.0
1317.948717896,648.717948692,-15.0
1358.97435892,625.641025616,-15.0
1405.1282050720001,612.820512796,-15.0
1448.71794866,633.3333333080001,-15.0
1489.743589684,661.538461512,-15.0
1528.2051281440001,694.8717948440001,-15.0
1566.666666604,728.205128176,-15.0
1607.692307628,753.8461538160001,-15.0
1658.974358908,756.4102563800001,-15.0
1705.12820506,766.6666666360001,-15.0
1746.1538460840002,789.743589712,-15.0
1779.4871794160001,828.2051281720001,-15.0
1805.128205056,869.2307691960001,-15.0
1823.076923004,912.820512784,-15.0
1838.461538388,958.974358936,-15.0
1869.2307691560002,994.8717948320001,-15.0
1915.384615308,989.7435897040001,-15.0
1948.71794864,953.846153808,-15.0
1984.6153845360002,930.7692307320001,-15.0
2012.8205127400001,969.230769192,-15.0
2046.153846072,989.7435897040001,-15.0
2079.487179404,953.846153808,-15.0
2117.948717864,925.6410256040001,-15.0
2130.769230684,884.6153845800001,-15.0
2102.56410248,846.15384612,-15.0
2133.333333248,807.6923076600001,-15.0
2166.6666665800003,774.358974328,-15.0
2205.12820504,741.025640996,-15.0
2246.153846064,712.820512792,-15.0
2282.0512819600003,676.923076896,-15.0
2325.641025548,656.410256384,-15.0
2374.358974264,651.282051256,-15.0
2412.8205127240003,615.38461536,-15.0
2451.282051184,582.0512820280001,-15.0
2484.615384516,548.717948696,-15.0
2507.6923075920004,510.256410236,-15.0
2551.28205118,525.64102562,-15.0
2587.179487076,494.87179485200005,-15.0
2674.3589742520003,402.564102548,-14.0
2699.9999998920002,438.46153844400004,-14.0
2692.3076922,487.17948716,-14.0
2671.794871688,530.769230748,-14.0
2641.02564092,569.2307692080001,-14.0
2617.948717844,610.256410232,-14.0
2589.74358964,651.282051256,-14.0
2569.2307691280002,694.8717948440001,-14.0
2556.410256308,741.025640996,-14.0
2543.5897434880003,787.179487148,-14.0
2533.3333332320003,833.3333333,-14.0
2564.1025640000003,869.2307691960001,-14.0
2602.56410246,897.4358974,-14.0
2625.641025536,938.4615384240001,-14.0
2625.641025536,989.7435897040001,-14.0
2623.076922972,1041.0256409840001,-14.0
2617.948717844,1089.7435897,-14.0
2584.615384512,1115.38461534,-14.0
2538.4615383600003,1099.999999956,-14.0
2497.435897336,1076.92307688,-14.0
2448.7179486200002,1069.230769188,-14.0
2405.128205032,1089.7435897,-14.0
2366.666666572,1120.512820468,-14.0
2325.641025548,1148.7179486720001,-14.0
2284.615384524,1174.358974312,-14.0
2241.025640936,1192.30769226,-14.0
2197.4358973480003,1215.384615336,-14.0
2169.230769144,1253.8461537960002,-14.0
2148.717948632,1297.435897384,-14.0
2110.256410172,1328.205128152,-14.0
2069.230769148,1353.846153792,-14.0
2030.769230688,1389.7435896880002,-14.0
1994.8717947920002,1420.512820456,-14.0
1961.53846146,1456.410256352,-14.0
1930.769230692,1494.8717948120002,-14.0
1907.692307616,1535.897435836,-14.0
1884.6153845400002,1576.92307686,-14.0
1843.589743516,1599.999999936,-14.0
1810.256410184,1638.4615383960002,-14.0
1792.307692236,1682.051281984,-14.0
1792.307692236,1730.7692307000002,-14.0
1802.564102492,1776.9230768520001,-14.0
1820.51282044,1820.51282044,-14.0
1828.205128132,1866.6666665920002,-14.0
1789.743589672,1894.8717947960001,-14.0
1738.4615383920002,1897.4358973600001,-14.0
1699.999999932,1869.2307691560002,-14.0
1674.358974292,1828.205128132,-14.0
1646.1538460880001,1787.179487108,-14.0
1610.256410192,1751.2820512120002,-14.0
1566.666666604,1730.7692307000002,-14.0
1517.9487178880001,1728.205128136,-14.0
1471.794871736,1743.5897435200002,-14.0
1425.641025584,1743.5897435200002,-14.0
1387.1794871240002,1712.820512752,-14.0
1356.410256356,1674.358974292,-14.0
1351.282051228,1625.6410255760002,-14.0
1338.461538408,1579.487179424,-14.0
1312.820512768,1538.4615384,-14.0
1315.384615332,1494.8717948120002,-14.0
1323.076923024,1446.153846096,-14.0
1289.7435896920001,1412.8205127640001,-14.0
1253.8461537960002,1376.9230768680002,-14.0
1215.384615336,1341.025640972,-14.0
1176.923076876,1310.256410204,-14.0
1133.333333288,1289.7435896920001,-14.0
1084.615384572,1282.0512820000001,-14.0
1033.3333332920001,1284.6153845640001,-14.0
984.615384576,1279.4871794360001,-14.0
938.4615384240001,1269.2307691800002,-14.0
889.7435897080001,1261.5384614880002,-14.0
841.025640992,1253.8461537960002,-14.0
797.435897404,1235.897435848,-14.0
784.615384584,1194.871794824,-14.0
823.0769230440001,1158.9743589280001,-14.0
830.769230736,1115.38461534,-14.0
817.9487179160001,1069.230769188,-14.0
817.9487179160001,1020.512820472,-14.0
841.025640992,979.487179448,-14.0
879.4871794520001,951.2820512440001,-14.0
